CellNumber,FrontPane,FPThickness,BackPane,BPThickness,TotalThickness
1,"21-3,",3.017,"21-6,",3.017,6.034
2,"21-6,",3.017,"21-3,",3.017,6.034
3,"21-13,",3.018,"22-11,",3.017,6.035
4,"22-11,",3.017,"21-13,",3.018,6.035
5,"22-4,",3.017,"21-8,",3.017,6.034
6,"21-8,",3.017,"22-4,",3.017,6.034
7,"21-5,",3.017,"21-12,",3.018333333,6.035333333
8,"21-12,",3.018333333,"21-5,",3.017,6.035333333
9,"22-5,",3.017,"22-7,",3.017,6.034
10,"22-7,",3.017,"22-5,",3.017,6.034
11,"21-7,",3.017,"22-8,",3.017,6.034
12,"22-8,",3.017,"21-7,",3.017,6.034
13,"21-9,",3.017,"21-10,",3.017,6.034
14,"21-10,",3.017,"21-9,",3.017,6.034
15,"22-9,",3.017,"22-15,",3.018,6.035
16,"22-15,",3.018,"22-9,",3.017,6.035
17,"22-10,",3.017,"21-11,",3.017,6.034
18,"21-11,",3.017,"22-10,",3.017,6.034
19,"22-12,",3.017,"22-14,",3.019666667,6.036666667
20,"22-14,",3.019666667,"22-12,",3.017,6.036666667
21,"21-16,",2.998,"21-17,",2.998,5.996
22,"21-17,",2.998,"21-16,",2.998,5.996
23,"21-21,",2.998,"22-20,",2.998,5.996
24,"22-20,",2.998,"21-21,",2.998,5.996
25,"21-22,",2.998,"22-19,",2.998,5.996
26,22-19,2.998,"21-22,",2.998,5.996
27,"21-23,",2.998,"21-25,",2.998,5.996
28,"21-25,",2.998,"21-23,",2.998,5.996
29,"22-16,",2.998,"21-20,",2.998,5.996
30,"21-20,",2.998,"22-16,",2.998,5.996
31,"22-17,",2.998,"21-19,",2.998,5.996
32,"21-19,",2.998,"22-17,",2.998,5.996
33,"22-18,",2.998,"22-19,",2.998,5.996
34,"22-19,",2.998,"22-18,",2.998,5.996
35,"22-21,",2.998,"21-18,",2.998,5.996
36,"21-18,",2.998,"22-21,",2.998,5.996
37,"22-24,",2.998,"22-25,",2.998,5.996
38,"22-25,",2.998,"22-24,",2.998,5.996
39,"31-4,",2.998,"32-3,",2.998,5.996
40,"32-4,",2.998,"31-4,",2.998,5.996
